"Ct,f","Ct,w","Ct,r","Ct"
21.8332304972686,22.5907362042032,39.5671258375845,83.9910925390563
-18.6768546027447,-19.1286556307067,-34.0919953612438,-71.8975055946952
0.28078909546204,0.290598764088429,0.523746336336927,1.0951341958874
-15.3428148010837,-9.13157468526559,-21.0016182580541,-45.4760077444033
-4.80299626625421,-5.12240483594119,-9.29950000286224,-19.2249011050576
-6.33309920013003,-4.56368436872903,-8.2740648858148,-19.1708484546739
-4.2400787850141,-6.36922572745062,-12.4695839894388,-23.0788885019035
-27.2818240624961,-21.4342102798015,-45.0458903234923,-93.7619246657899
0.932023849990767,2.35573212873914,2.51840919075323,5.80616516948314
28.2138479124869,23.7899424085407,47.5642995142455,99.568089835273
