"volume","Date","rootmass","rootmass_SE"
5,2013-01-21,0.47664,0.0494285812056142
10,2013-01-21,0.47664,0.0494285812056142
15,2013-01-21,0.47664,0.0494285812056142
20,2013-01-21,0.47664,0.0494285812056142
25,2013-01-21,0.47664,0.0494285812056142
35,2013-01-21,0.47664,0.0494285812056142
1000,2013-01-21,0.47664,0.0494285812056142
5,2013-05-21,3.03222857142857,0.354429707422781
10,2013-05-21,4.86377142857143,0.735225304132034
15,2013-05-21,5.7408,0.8186194928139
20,2013-05-21,5.43634285714286,0.711771672749753
25,2013-05-21,6.96274285714286,1.30711647738448
35,2013-05-21,11.3986285714286,2.09903155887426
1000,2013-05-21,40.1650285714286,4.22053724009984
